Co./Last Name,Date,Invoice,StockCode,PurCat,Quantity,UnitCost,Discount,LineTotal,TaxLabel,TaxAmount
New World,26/04/2013,8200004672,377,1,12.0,2.1739,0.0,30.0,VAT9,2.48
New World,26/04/2013,8200004672,9414681200924,1,12.0,2.1739,0.0,30.0,VAT9,2.48
New World,26/04/2013,8200004672,9421902692123,1,24.0,2.2826,0.0,63.0,VAT9,5.2
WineShop,26/04/2013,124,9421014520062,1,29.0,2.6087,0.0,87.0,VAT9,7.18
Legends Distributors,27/04/2013,,9200129100082,1,10.0,4.9043,0.0,56.4,VAT9,4.66
Legends Distributors,27/04/2013,,5333333123401,1,20.0,0.8174,0.0,18.8,VAT9,1.55
Legends Distributors,27/04/2013,,5555001340105,1,5.0,8.1739,0.0,47.0,VAT9,3.88
MH,27/04/2013,201305,1,1,120.0,3.1522,0.0,435.0,VAT9,35.92
MH,27/04/2013,201305,2,1,120.0,3.3623,0.0,464.0,VAT9,38.31
Paradise Beverages,27/04/2013,1110008694,9421014525302,1,240.0,3.21,0.0,885.96,VAT9,73.15
Paradise Beverages,27/04/2013,1110008694,9421902692017,1,360.0,3.0108,0.0,1246.48,VAT9,102.92
Paradise Beverages,27/04/2013,1110008694,9421902692123,1,168.0,2.1737,0.0,419.96,VAT9,34.68
Paradise Beverages,27/04/2013,1110008694,9421901704841,1,24.0,18.4236,0.0,508.49,VAT9,41.99
Legends Distributors,29/04/2013,,5333333123401,1,20.0,0.8174,0.0,18.8,VAT9,1.55
Legends Distributors,29/04/2013,,5555001340082,1,10.0,4.9043,0.0,56.4,VAT9,4.66
Legends Distributors,29/04/2013,,9200129100082,1,10.0,4.9044,0.0,56.4,VAT9,4.66
Market,29/04/2013,1211,706799200811,1,300.0,0.1306,0.0588,45.0,VAT9,3.72
Pinto Industries,29/04/2013,,242,1,18.0,1.0145,0.0,21.0,VAT9,1.73
RB Patel,30/04/2013,34945,9416470239603,1,30.0,0.9835,0.0,33.93,VAT9,2.8
RB Patel,30/04/2013,34945,295,1,72.0,0.2187,0.0,18.11,VAT9,1.5
RB Patel,30/04/2013,34945,389,1,30.0,0.9568,0.0,33.01,VAT9,2.73
Downtown Supermarket,30/04/2013,,23,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Downtown Supermarket,30/04/2013,,9310797257237,1,10.0,5.8696,0.0,67.5,VAT9,5.57
MH,01/05/2013,1124,9416470181209,1,20.0,1.1739,0.0,27.0,VAT9,2.23
WineShop,01/05/2013,,2031,1,3.0,1.7391,0.0,6.0,VAT9,0.5
WineShop,01/05/2013,,9416323109404,1,3.0,1.7391,0.0,6.0,VAT9,0.5
WineShop,01/05/2013,,706799200019,1,4.0,1.0435,0.0,4.8,VAT9,0.4
Legends Distributors,01/05/2013,,5333333123401,1,20.0,0.8174,0.0,18.8,VAT9,1.55
Legends Distributors,01/05/2013,,5555001340082,1,10.0,4.9044,0.0,56.4,VAT9,4.66
Legends Distributors,01/05/2013,,5555001340105,1,5.0,8.1739,0.0,47.0,VAT9,3.88
Legends Distributors,01/05/2013,,302,1,10.0,1.6348,0.0,18.8,VAT9,1.55
Legends Distributors,01/05/2013,,9200129100082,1,10.0,4.9043,0.0,56.4,VAT9,4.66
Legends Distributors,01/05/2013,,9200129100112,1,5.0,8.9913,0.0,51.7,VAT9,4.27
Legends Distributors,01/05/2013,,9200129100150,1,5.0,12.2609,0.0,70.5,VAT9,5.82
Market,01/05/2013,,223,1,24.0,0.7971,0.0,22.0,VAT9,1.82
MH,01/05/2013,201311,1,1,120.0,3.1522,0.0,435.0,VAT9,35.92
MH,01/05/2013,201311,2,1,120.0,3.3623,0.0,463.99,VAT9,38.31
Goodman Fielder,01/05/2013,8178,9414681500147,1,4.0,3.3325,0.0,15.3295,VAT9,1.27
Goodman Fielder,01/05/2013,8178,706799200781,1,30.0,0.65,0.0,22.425,VAT9,1.85
Goodman Fielder,01/05/2013,8178,706799200750,1,30.0,0.2807,0.0,9.683,VAT9,0.8
Goodman Fielder,01/05/2013,8178,245,1,22.0,7.7555,0.0,196.213,VAT9,16.2
Downtown Supermarket,02/05/2013,3936,9310797257220,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Coca Cola,02/05/2013,1124,9416216284157,1,8.0,2.4163,0.0,22.23,VAT9,1.84
TFL,02/05/2013,05505,1461051648853,1,5.0,4.0435,0.0,23.25,VAT9,1.92
CMC,02/05/2013,,9310797257237,1,20.0,5.7826,0.0,133.0,VAT9,10.98
CMC,02/05/2013,,9310797246439,1,20.0,2.5478,0.0,58.6,VAT9,4.84
CMC,02/05/2013,,314,1,20.0,3.3087,0.0,76.1,VAT9,6.28
CMC,02/05/2013,922589,9310797257220,1,200.0,2.8913,0.0,665.0,VAT9,54.91
Motibhai,02/05/2013,118037536,9416323109404,1,132.0,1.3532,0.0,205.413,VAT9,16.96
Motibhai,02/05/2013,118037536,8992760121090,1,6.0,1.64,0.0,11.316,VAT9,0.93
Motibhai,02/05/2013,118037536,9338815001204,1,76.0,0.2463,0.0,21.528,VAT9,1.78
Coca Cola,03/05/2013,,9416216001464,1,24.0,1.1178,0.0,30.85,VAT9,2.55
Coca Cola,03/05/2013,,9416216001730,1,24.0,1.1177,0.0,30.85,VAT9,2.55
Coca Cola,03/05/2013,,9416216057324,1,48.0,1.3822,0.0,76.3,VAT9,6.3
Coca Cola,03/05/2013,,9416216057362,1,24.0,1.3823,0.0,38.15,VAT9,3.15
Coca Cola,03/05/2013,,9416216050813,1,36.0,1.3768,0.0,57.0,VAT9,4.71
Coca Cola,03/05/2013,,9416216283068,1,12.0,1.971,0.0,27.2,VAT9,2.25
Coca Cola,03/05/2013,,9416216283075,1,12.0,1.971,0.0,27.2,VAT9,2.25
Coca Cola,03/05/2013,,9416216284102,1,8.0,2.4163,0.0,22.23,VAT9,1.84
Coca Cola,03/05/2013,,9416216284157,1,8.0,2.4163,0.0,22.23,VAT9,1.84
Coca Cola,03/05/2013,,9416216284133,1,8.0,2.4163,0.0,22.23,VAT9,1.84
Coca Cola,03/05/2013,,632565000012,1,48.0,1.2037,0.0,66.44,VAT9,5.49
Coca Cola,03/05/2013,,9416216056471,1,24.0,1.2663,0.0,34.95,VAT9,2.89
Coca Cola,03/05/2013,,9416216002331,1,12.0,1.5326,0.0,21.15,VAT9,1.75
Coca Cola,03/05/2013,,9416216283075,1,12.0,1.971,0.0,27.2,VAT9,2.25
Goodman Fielder,03/05/2013,657,286,1,24.0,0.5779,0.0,15.9505,VAT9,1.32
Goodman Fielder,03/05/2013,657,706799200255,1,12.0,1.6017,0.0,22.103,VAT9,1.83
Goodman Fielder,03/05/2013,658,706799200033,1,24.0,1.6017,0.0,44.206,VAT9,3.65
Ashabhai,03/05/2013,314832,9415093003301,1,6.0,3.6517,0.0,25.1965,VAT9,2.08
Ashabhai,03/05/2013,314832,9415093003233,1,6.0,3.2733,0.0,22.586,VAT9,1.86
Ashabhai,03/05/2013,314832,326,1,3.0,1.9567,0.0,6.7505,VAT9,0.56
Reddy Sweets,03/05/2013,641,93573023,1,30.0,0.5363,0.0,18.5,VAT9,1.53
Reddy Sweets,03/05/2013,641,93573030,1,50.0,0.2696,0.0,15.5,VAT9,1.28
Reddy Sweets,03/05/2013,641,272,1,100.0,0.0478,0.0,5.5,VAT9,0.45
Reddy Sweets,03/05/2013,641,93573023,1,30.0,0.5363,0.0,18.5,VAT9,1.53
Reddy Sweets,03/05/2013,641,282,1,24.0,1.5217,0.0,42.0,VAT9,3.47
Reddy Sweets,03/05/2013,641,265,1,90.0,0.0435,0.0,4.5,VAT9,0.37
Reddy Sweets,03/05/2013,641,353,1,60.0,0.087,0.0,6.0,VAT9,0.5
Reddy Sweets,03/05/2013,641,9414043001145,1,48.0,1.1594,0.0,64.0,VAT9,5.28
Tappoo Limited,03/05/2013,0218128,9414453904432,1,72.0,3.2608,0.0,269.997,VAT9,22.29
Tappoo Limited,03/05/2013,0218128,285,1,48.0,0.9064,3.4284,46.092,VAT9,3.81
Tappoo Limited,03/05/2013,0218128,102034054214,1,12.0,3.13,0.0,37.56,VAT12.5,4.17
Tappoo Limited,03/05/2013,0218128,9414453905507,1,96.0,3.1738,0.0,350.382,VAT9,28.93
MH,03/05/2013,201317,1,1,120.0,3.1522,0.0,435.0,VAT9,35.92
MH,03/05/2013,201317,2,1,120.0,3.3622,0.0,463.98,VAT9,38.31
MH,03/05/2013,201317,9421902692017,1,240.0,3.0108,0.0,830.98,VAT9,68.61
MH,03/05/2013,201317,9421014525302,1,120.0,3.21,0.0,442.98,VAT9,36.58
Legends Distributors,04/05/2013,9339,302,1,30.0,1.6348,0.0,56.4,VAT9,4.66
Legends Distributors,04/05/2013,9339,9200129100082,1,30.0,4.9044,0.0,169.2,VAT9,13.97
Legends Distributors,04/05/2013,9339,9200129100150,1,5.0,12.2609,0.0,70.5,VAT9,5.82
Legends Distributors,04/05/2013,9339,5333333123401,1,30.0,0.8174,0.0,28.2,VAT9,2.33
Legends Distributors,04/05/2013,9339,5555001340082,1,20.0,4.9043,0.0,112.8,VAT9,9.31
Legends Distributors,04/05/2013,9339,5555001340105,1,5.0,8.1739,0.0,47.0,VAT9,3.88
Legends Distributors,04/05/2013,9339,9200129100259,1,5.0,20.4348,0.0,117.5,VAT9,9.7
Legends Distributors,04/05/2013,9339,308,1,5.0,2.4261,0.0,13.95,VAT9,1.15
New World,04/05/2013,48330,9421902692017,1,840.0,3.1522,0.0,3045.0,VAT9,251.42
New World,04/05/2013,48330,9421014525302,1,600.0,3.3696,0.0,2325.0,VAT9,191.97
Paradise Beverages,04/05/2013,1110008918,9421902692901,1,24.0,1.779,0.0,49.1,VAT9,4.05
Paradise Beverages,04/05/2013,1110008918,9421902692123,1,120.0,2.1737,0.0,299.98,VAT9,24.77
Paradise Beverages,04/05/2013,1110008918,9421902692925,1,96.0,2.1739,0.0,240.0,VAT9,19.82
RB Patel,04/05/2013,,5388887655670,1,72.0,0.4348,0.0,36.0,VAT9,2.97
Legends Distributors,07/05/2013,,9200129100082,1,10.0,4.9043,0.0,56.396,VAT9,4.66
Legends Distributors,07/05/2013,,5333333123401,1,10.0,0.8174,0.0,9.3955,VAT9,0.78
RB Patel,07/05/2013,254507,9310797257237,1,5.0,6.1739,0.0,35.5,VAT9,2.93
Ram Jattan,07/05/2013,680381,9416470213245,1,12.0,0.8623,0.0,11.9,VAT9,0.98
WineShop,07/05/2013,3522,9421014520413,1,6.0,2.1739,0.0,15.0,VAT9,1.24
WineShop,07/05/2013,3522,9,1,6.0,2.1739,0.0,15.0,VAT9,1.24
WineShop,07/05/2013,3522,15,1,4.0,4.3478,0.0,20.0,VAT9,1.65
WineShop,07/05/2013,3522,706799200019,1,3.0,1.0435,0.0,3.6,VAT9,0.3
WineShop,07/05/2013,3522,25,1,3.0,0.8696,0.0,3.0,VAT9,0.25
Market,07/05/2013,1124,223,1,24.0,0.7971,0.0,22.0,VAT9,1.82
Dannys Food,08/05/2013,,252,1,20.0,3.4826,0.0,80.1,VAT9,6.61
Punjas,08/05/2013,12105475,326,1,3.0,1.5043,0.0,5.19,VAT9,0.43
Punjas,08/05/2013,12105475,333,1,6.0,0.6985,0.0,4.82,VAT9,0.4
Punjas,08/05/2013,12105475,373,1,20.0,1.3922,0.0,32.02,VAT9,2.64
Punjas,08/05/2013,12105475,330,1,24.0,0.1728,0.0,4.77,VAT9,0.39
Legends Distributors,08/05/2013,9379,5333333123401,1,20.0,0.817,0.0,18.79,VAT9,1.55
Legends Distributors,08/05/2013,9379,5555001340082,1,10.0,4.9044,0.0,56.4,VAT9,4.66
Downtown Supermarket,09/05/2013,3979,9310797257220,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Downtown Supermarket,09/05/2013,3979,9310797257237,1,10.0,5.8696,0.0,67.5,VAT9,5.57
Legends Distributors,09/05/2013,9394,9200129100082,1,10.0,4.904,0.0,56.4,VAT9,4.66
MH,09/05/2013,201323,9421902692017,1,204.0,3.1522,0.0,739.5,VAT9,61.06
Coca Cola,09/05/2013,424206,9416216283068,1,12.0,1.971,0.0,27.2,VAT9,2.25
Coca Cola,09/05/2013,424206,9416216284102,1,40.0,2.4163,0.0,111.15,VAT9,9.18
Coca Cola,09/05/2013,424206,9416216057324,1,24.0,1.3823,0.0,38.16,VAT9,3.15
Coca Cola,09/05/2013,424206,9416216001723,1,24.0,1.1178,0.0,30.85,VAT9,2.55
Coca Cola,09/05/2013,424206,9416216001464,1,24.0,1.1177,0.0,30.84,VAT9,2.55
Coca Cola,09/05/2013,424206,9416216283051,1,12.0,1.971,0.0,27.2,VAT9,2.25
MH,10/05/2013,201327,1,1,132.0,3.1522,0.0,478.5,VAT9,39.51
MH,10/05/2013,201327,2,1,60.0,3.3622,0.0,231.99,VAT9,19.16
WineShop,10/05/2013,4163,2033,1,4.0,2.0,0.0,9.2,VAT9,0.76
WineShop,10/05/2013,4163,34,1,4.0,2.0,0.0,9.2,VAT9,0.76
WineShop,10/05/2013,4163,27,1,4.0,1.2,0.0,5.52,VAT9,0.46
WineShop,10/05/2013,4163,706799200019,1,4.0,1.0435,0.0,4.8,VAT9,0.4
New World,10/05/2013,49839,9421014525302,1,600.0,3.3696,0.0,2325.0,VAT9,191.97
New World,10/05/2013,49839,9421902692017,1,600.0,3.1739,0.0,2190.0,VAT9,180.83
New World,10/05/2013,49839,9421902692925,1,120.0,2.2826,0.0,315.0,VAT9,26.01
New World,10/05/2013,49839,9421902692123,1,72.0,2.2826,0.0,189.0,VAT9,15.61
New World,10/05/2013,49839,9421901704827,1,6.0,36.087,0.0,249.0,VAT9,20.56
New World,10/05/2013,49839,9421901704803,1,3.0,52.1739,0.0,180.0,VAT9,14.86
Downtown Supermarket,10/05/2013,3982,9310797257220,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Downtown Supermarket,10/05/2013,3986,9310797257220,1,60.0,2.9348,0.0,202.5035,VAT9,16.72
Downtown Supermarket,10/05/2013,3986,9310797257237,1,10.0,5.8696,0.0,67.505,VAT9,5.57
Ashabhai,10/05/2013,317595,333,1,10.0,0.7688,0.0,8.8435,VAT9,0.73
Reddy Sweets,10/05/2013,644,9300605030411,1,200.0,0.0391,0.0,9.0,VAT9,0.74
Reddy Sweets,10/05/2013,644,280,1,200.0,0.0435,0.0,10.0,VAT9,0.83
Reddy Sweets,10/05/2013,644,93573023,1,30.0,0.5362,0.0,18.5,VAT9,1.53
Reddy Sweets,10/05/2013,644,271,1,100.0,0.1217,0.0,14.0,VAT9,1.16
Reddy Sweets,10/05/2013,644,265,1,90.0,0.0435,0.0,4.5,VAT9,0.37
Reddy Sweets,10/05/2013,644,272,1,100.0,0.0478,0.0,5.5,VAT9,0.45
CJ Patel,10/05/2013,215535,8901324009286,1,60.0,0.2132,0.0,14.7085,VAT9,1.21
CJ Patel,10/05/2013,215535,9338815001013,1,60.0,0.3098,0.0,21.3785,VAT9,1.77
CJ Patel,10/05/2013,215535,9338815001136,1,60.0,0.3098,0.0,21.3785,VAT9,1.77
CJ Patel,10/05/2013,215535,294,1,250.0,0.0267,0.0,7.6705,VAT9,0.63
CJ Patel,10/05/2013,215535,9310797282161,1,3.0,4.35,0.0,15.0075,VAT9,1.24
CJ Patel,10/05/2013,215535,1029,1,120.0,0.0322,0.0,4.439,VAT9,0.37
CJ Patel,10/05/2013,215535,9416542500396,1,12.0,1.82,0.0,25.116,VAT9,2.07
CJ Patel,10/05/2013,215535,8850006321133,1,12.0,0.6958,0.0,8.35,VAT12.5,0.93
Downtown Supermarket,11/05/2013,,23,1,20.0,2.9348,0.0,67.5,VAT9,5.57
Legends Distributors,11/05/2013,9523,1461051648853,1,5.0,4.0435,0.0,23.25,VAT9,1.92
Legends Distributors,11/05/2013,9523,302,1,30.0,1.6348,0.0,56.4,VAT9,4.66
Legends Distributors,11/05/2013,9523,9200129100082,1,20.0,4.9044,0.0,112.8,VAT9,9.31
Legends Distributors,11/05/2013,9523,5333333123401,1,30.0,0.8169,0.0,28.18,VAT9,2.33
Legends Distributors,11/05/2013,9523,5555001340082,1,20.0,4.9043,0.0,112.8,VAT9,9.31
MH,11/05/2013,201332,1,1,120.0,3.1522,0.0,435.0,VAT9,35.92
MH,11/05/2013,201332,9421902692017,1,240.0,3.1522,0.0,870.0,VAT9,71.83
Fisheries,11/05/2013,1124,263,1,19.0,0.3623,0.0,7.912,VAT9,0.65
Downtown Supermarket,12/05/2013,1124,9310797257220,1,40.0,2.9348,0.0,134.9985,VAT9,11.15
Paradise Beverages,13/05/2013,91757,9421902692901,1,24.0,1.779,0.0,49.1,VAT9,4.05
Paradise Beverages,13/05/2013,91757,9421014525500,1,48.0,1.7174,0.0,94.8,VAT9,7.83
Paradise Beverages,13/05/2013,91757,9421902692000,1,48.0,1.652,0.0,91.19,VAT9,7.53
Paradise Beverages,13/05/2013,91757,9421014525302,1,360.0,3.21,0.0,1328.94,VAT9,109.73
Paradise Beverages,13/05/2013,91757,9421902692017,1,600.0,3.0108,0.0,2077.47,VAT9,171.53
Paradise Beverages,13/05/2013,91757,9421902692123,1,144.0,2.1739,0.0,360.0,VAT9,29.72
Paradise Beverages,13/05/2013,91757,9421902692925,1,72.0,2.1739,0.0,180.0,VAT9,14.86
Paradise Beverages,13/05/2013,91757,9421901704841,1,24.0,18.4236,0.0,508.49,VAT9,41.99
Paradise Beverages,13/05/2013,91757,9421014522059,1,24.0,17.4819,0.0,482.5,VAT9,39.84
Paradise Beverages,13/05/2013,91757,9421014522073,1,24.0,19.2754,0.0,532.0,VAT9,43.93
CMC,13/05/2013,926066,9310797257220,1,202.0,2.887,0.0,670.64,VAT9,55.37
CMC,13/05/2013,926066,9310797257237,1,101.0,5.7826,0.0,671.65,VAT9,55.46
Pinto Industries,13/05/2013,31075,242,1,126.0,0.9662,0.0,140.0,VAT9,11.56
Pinto Industries,13/05/2013,31075,254,1,300.0,0.0565,0.0,19.5,VAT9,1.61
Legends Distributors,13/05/2013,9540,9200129100082,1,20.0,4.9043,0.0,112.8,VAT9,9.31
New World,14/05/2013,46927,9403146709263,1,5.0,1.4348,0.0,8.25,VAT9,0.68
New World,14/05/2013,46927,9416470522224,1,5.0,1.4348,0.0,8.25,VAT9,0.68
New World,14/05/2013,46927,9416470213245,1,20.0,0.9478,0.0,21.8,VAT9,1.8
MH,14/05/2013,,1,1,240.0,3.1522,0.0,870.0,VAT9,71.83
New World,14/05/2013,46927,9403146709263,1,5.0,1.4348,0.0,8.25,VAT9,0.68
New World,14/05/2013,46927,9416470522224,1,5.0,1.4348,0.0,8.25,VAT9,0.68
New World,14/05/2013,46927,9416470213245,1,20.0,0.9478,0.0,21.8,VAT9,1.8
Reddy Sweets,15/05/2013,0664,374,1,100.0,0.0696,0.0,8.0,VAT9,0.66
Reddy Sweets,15/05/2013,0664,280,1,200.0,0.0435,0.0,10.0,VAT9,0.83
Reddy Sweets,15/05/2013,0664,93545037,1,200.0,0.0304,0.0,7.0,VAT9,0.58
Ganesh Snacks,15/05/2013,9729,282,1,144.0,0.8695,0.0,143.9915,VAT9,11.89
Ganesh Snacks,15/05/2013,9729,9414043001145,1,96.0,0.55,0.0,60.72,VAT9,5.01
Ganesh Snacks,15/05/2013,9729,296,1,120.0,0.1303,0.0,17.986,VAT9,1.49
Punjas,15/05/2013,12105813,9416470126255,1,24.0,0.7913,0.0,21.84,VAT9,1.8
Punjas,15/05/2013,12105813,9416470194209,1,6.0,1.3652,0.0,9.42,VAT9,0.78
MH,15/05/2013,201336,9421902692017,1,180.0,3.1522,0.0,652.4985,VAT9,53.88
MH,15/05/2013,201336,9421014525302,1,120.0,3.3623,0.0,463.9905,VAT9,38.31
Goodman Fielder,16/05/2013,8485,9414681500116,1,2.0,5.705,0.0,13.1215,VAT9,1.08
Goodman Fielder,16/05/2013,8485,706799200774,1,30.0,0.65,0.0,22.425,VAT9,1.85
Goodman Fielder,16/05/2013,8485,248,1,9.0,10.4356,0.0,108.008,VAT9,8.92
Legends Distributors,16/05/2013,9574,5333333123401,1,30.0,0.8168,0.0,28.18,VAT9,2.33
Legends Distributors,16/05/2013,9574,5555001340082,1,20.0,4.9044,0.0,112.8,VAT9,9.31
Legends Distributors,16/05/2013,9574,302,1,20.0,1.6348,0.0,37.61,VAT9,3.11
Legends Distributors,16/05/2013,9574,9200129100082,1,20.0,4.9044,0.0,112.8,VAT9,9.31
Legends Distributors,16/05/2013,9574,9200129100112,1,5.0,8.9913,0.0,51.7,VAT9,4.27
New World,17/05/2013,1122,9421902692017,1,1200.0,3.1739,0.0,4380.0,VAT9,361.65
New World,17/05/2013,1122,9421014525302,1,1200.0,3.3696,0.0,4650.0,VAT9,383.95
Legends Distributors,17/05/2013,9590,5333333123401,1,30.0,0.8168,0.0,28.18,VAT9,2.33
Legends Distributors,17/05/2013,9590,302,1,20.0,1.6353,0.0,37.61,VAT9,3.11
Legends Distributors,17/05/2013,9590,9200129100082,1,10.0,4.9043,0.0,56.4,VAT9,4.66
Legends Distributors,17/05/2013,9590,1461051648853,1,5.0,4.0435,0.0,23.25,VAT9,1.92
MH,17/05/2013,201340,8725000639679,1,120.0,3.5217,0.0,486.0,VAT9,40.13
New World,17/05/2013,29144,9421902692123,1,72.0,2.2826,0.0,189.0,VAT9,15.61
Motibhai,17/05/2013,118038016,7622300559991,1,36.0,0.56,0.0,23.184,VAT9,1.91
Motibhai,17/05/2013,118038016,9416323109459,1,132.0,1.353,0.0,205.39,VAT9,16.96
Motibhai,17/05/2013,118038016,8992760121090,1,6.0,1.64,0.0,11.316,VAT9,0.93
Motibhai,17/05/2013,118038016,220,1,12.0,13.95,0.0,192.51,VAT9,15.9
New World,18/05/2013,51631,9416470181209,1,100.0,1.1739,0.0,135.0,VAT9,11.15
New World,18/05/2013,51631,9416470213245,1,120.0,0.8087,0.0,111.6,VAT9,9.21
New World,18/05/2013,51631,9416470522224,1,40.0,1.4348,0.0,66.0,VAT9,5.45
New World,18/05/2013,51631,9416470239603,1,120.0,0.463,0.0,63.9,VAT9,5.28
New World,18/05/2013,51631,9403146709263,1,20.0,1.4348,0.0,33.0,VAT9,2.72
New World,18/05/2013,51631,9421902692123,1,72.0,2.2826,0.0,189.0,VAT9,15.61
New World,18/05/2013,51631,9416470239603,1,60.0,0.471,0.0,32.5,VAT9,2.68
Legends Distributors,18/05/2013,,9200129100259,1,5.0,20.4348,0.0,117.4955,VAT9,9.7
Legends Distributors,18/05/2013,,1461051648853,1,5.0,4.0435,0.0,23.253,VAT9,1.92
Legends Distributors,18/05/2013,,9200129100150,1,5.0,12.2609,0.0,70.495,VAT9,5.82
MH,18/05/2013,201343,1,1,360.0,3.1522,0.0,1305.0,VAT9,107.75
MH,18/05/2013,201343,9421014520062,1,120.0,2.3043,0.0,318.0,VAT9,26.26
